Timestamp,Set_L,Act_L,Err_L,Set_R,Act_R,Err_R,Diff_LR
1772468024.7618017,1.9098591804504395,21.367183685302734,-19.457324504852295,1.9098591804504395,3.867184638977051,-1.9573254585266113,17.499999046325684
1772468024.8178134,1.9098591804504395,24.137182235717773,-22.227323055267334,1.9098591804504395,28.53718376159668,-26.62732458114624,-4.400001525878906
1772468024.868199,1.9098591804504395,24.137182235717773,-22.227323055267334,1.9098591804504395,28.53718376159668,-26.62732458114624,-4.400001525878906
1772468024.9182837,1.9098591804504395,24.137182235717773,-22.227323055267334,1.9098591804504395,28.53718376159668,-26.62732458114624,-4.400001525878906
1772468024.9637926,1.9098591804504395,22.527183532714844,-20.617324352264404,1.9098591804504395,30.757183074951172,-28.847323894500732,-8.229999542236328
1772468025.0100937,1.9098591804504395,22.527183532714844,-20.617324352264404,1.9098591804504395,30.757183074951172,-28.847323894500732,-8.229999542236328
1772468025.0661604,1.9098591804504395,10.417182922363281,-8.507323741912842,1.9098591804504395,25.767183303833008,-23.85732412338257,-15.350000381469727
1772468025.1181912,1.9098591804504395,10.417182922363281,-8.507323741912842,1.9098591804504395,25.767183303833008,-23.85732412338257,-15.350000381469727
1772468025.167985,1.9098591804504395,10.417182922363281,-8.507323741912842,1.9098591804504395,25.767183303833008,-23.85732412338257,-15.350000381469727
1772468025.2175772,1.9098591804504395,19.397184371948242,-17.487325191497803,1.9098591804504395,4.15718412399292,-2.2473249435424805,15.240000247955322
1772468025.266437,1.9098591804504395,19.397184371948242,-17.487325191497803,1.9098591804504395,4.15718412399292,-2.2473249435424805,15.240000247955322
1772468025.3193598,1.9098591804504395,19.397184371948242,-17.487325191497803,1.9098591804504395,4.15718412399292,-2.2473249435424805,15.240000247955322
1772468025.365786,1.9098591804504395,29.497182846069336,-27.587323665618896,1.9098591804504395,25.14718246459961,-23.23732328414917,4.350000381469727
1772468025.411192,1.9098591804504395,29.497182846069336,-27.587323665618896,1.9098591804504395,25.14718246459961,-23.23732328414917,4.350000381469727
1772468025.4611678,1.9098591804504395,29.497182846069336,-27.587323665618896,1.9098591804504395,25.14718246459961,-23.23732328414917,4.350000381469727
1772468025.5128968,1.9098591804504395,28.57718276977539,-26.66732358932495,1.9098591804504395,27.137184143066406,-25.227324962615967,1.4399986267089844
1772468025.5614932,1.9098591804504395,28.57718276977539,-26.66732358932495,1.9098591804504395,27.137184143066406,-25.227324962615967,1.4399986267089844
1772468025.6126807,1.9098591804504395,28.597183227539062,-26.687324047088623,1.9098591804504395,26.99718475341797,-25.08732557296753,1.5999984741210938
1772468025.6626976,1.9098591804504395,28.597183227539062,-26.687324047088623,1.9098591804504395,26.99718475341797,-25.08732557296753,1.5999984741210938
1772468025.710966,1.9098591804504395,28.597183227539062,-26.687324047088623,1.9098591804504395,26.99718475341797,-25.08732557296753,1.5999984741210938
1772468025.756367,1.9098591804504395,28.597183227539062,-26.687324047088623,1.9098591804504395,26.99718475341797,-25.08732557296753,1.5999984741210938
1772468025.813022,1.9098591804504395,28.597183227539062,-26.687324047088623,1.9098591804504395,26.99718475341797,-25.08732557296753,1.5999984741210938
1772468025.8615556,1.9098591804504395,28.597183227539062,-26.687324047088623,1.9098591804504395,26.99718475341797,-25.08732557296753,1.5999984741210938
1772468025.9111168,1.9098591804504395,28.597183227539062,-26.687324047088623,1.9098591804504395,26.99718475341797,-25.08732557296753,1.5999984741210938
